CAL,CNC,GR,HRD,HRM,PE,ZDEN,DTC,DTS
8.6719,0.1199,6.7518,2.8285,3.0391,8.4395,2.5191,67.5481,124.2332
8.6719,0.318,165.4345,1.317,1.2206,7.1354,2.5517,101.5208,201.2649
8.7031,0.3164,58.3146,1.1627,1.8947,8.1722,2.4452,110.8297,250.7232
8.625,0.1527,44.5126,2.5318,3.0052,7.6534,2.5674,80.0383,147.3262
8.625,0.1731,16.1563,13.5082,13.0191,5.1534,2.2164,85.6109,134.4386
8.5781,0.2669,30.3286,0.5443,0.5344,5.0273,2.2206,97.1751,183.1958
8.6719,0.0927,10.5744,4.47,4.7252,8.3,2.5696,66.8371,123.6611
8.6719,0.2331,59.4517,1.3869999999999998,1.1036,6.2478,2.3751,85.9401,139.6012
8.6797,0.1308,7.4897,2.4417,2.5962,8.4137,2.5201,69.0499,123.4313
8.6016,0.0928,2.7651,3.3333,3.5333,8.394,2.5607,65.4498,118.5902
8.5781,0.2815,29.6331,0.3222,0.311,5.1320000000000014,2.1637,107.4909,212.3052
8.6719,0.1547,45.3982,2.5256,2.9151,7.5276,2.5571,78.9239,143.2978
8.6484,0.2232,107.4465,1.4216,1.4538,7.5745,2.567,90.0762,180.1864
8.625,0.3199,128.0915,1.4734,1.4161,7.16,2.4711,99.3704,180.749
8.5469,0.2264,28.7538,0.4236,0.3913,5.0967,2.2353,91.5089,172.6701
8.625,0.0731,5.5013,3.7789,4.352,8.3474,2.5883,61.6803,113.6102
8.5781,0.2804,33.0213,0.5217,0.4613,5.3422,2.2289,118.1469,204.1581
8.625,0.0808,10.0467,4.6963,4.9854,8.3449,2.5934,63.3333,117.6344
8.625,0.0675,3.5095,4.3787,4.9136,8.3794,2.5903,61.593,113.4393
8.5781,0.3056,53.0352,0.5856,0.5549,5.477,2.2537,104.1544,190.4176
8.6719,0.1125,10.1398,3.1611,3.5001,7.8965,2.5398,68.712,125.4608
8.5781,0.2707,31.9252,0.3187,0.2965,5.0984,2.1786,101.4171,193.5723
8.5469,0.2653,45.24800000000001,0.6538,0.5706,5.3855,2.324,108.252,189.1377
8.6094,0.4512,87.1836,0.8237,0.7396,7.252999999999999,2.3487,112.0227,299.5884
8.625,0.2018,61.9344,1.8128,1.9432,7.8275,2.5994,82.5634,171.8265
8.5469,0.2012,28.9657,0.5672,0.5287,4.9211,2.2742,86.993,141.6106
8.625,0.1071,8.2692,2.7096,3.1599,8.2316,2.5516,68.7919,126.6327
8.6719,0.1326,9.5417,2.8204,2.9027,8.5334,2.5176,70.6123,130.2949
8.5781,0.2695,27.8013,0.3995,0.3639,5.1422,2.1629,103.4626,196.0687
8.6484,0.1543,6.7952,1.8231,1.8336,8.2889,2.4672,70.8803,130.6407
8.5,0.2907,36.1834,0.5181,0.4219,5.2568,2.1769,102.7938,250.2684
8.5781,0.2906,30.6401,0.3437,0.3267,5.1584,2.1638,108.2367,210.9727
8.7031,0.142,10.4608,1.8804,2.071,8.2284,2.4856,71.015,131.6835
8.6719,0.0873,6.725,3.5236,4.041,8.3389,2.5792,65.0628,118.375
8.625,0.1258,42.8046,3.1504,3.5809,7.1086,2.559,74.0778,134.2595
8.625,0.1054,2.798,2.382,2.5926,8.7165,2.5376,66.4853,125.1482
8.625,0.0963,7.2183,4.285,4.6712,8.2285,2.5677,66.6132,125.9455
8.6484,0.1236,39.3653,7.0419,8.087,5.8752,2.2926,67.5949,120.4542
8.7031,0.1571,51.9001,2.0276,2.1911,6.9878,2.5099,81.9179,139.0653
8.6016,0.3756,47.8031,1.0329,0.8358,6.4776,2.2221,104.5383,304.3595
8.625,0.2142,58.8892,2.03,1.9298,6.1103,2.4069,81.4222,133.3983
8.625,0.0808,10.0467,4.6963,4.9854,8.3449,2.5934,63.3333,117.6344
8.625,0.1192,33.0816,3.125,3.4094,7.1691,2.5586,73.5667,131.8746
8.6719,0.2185,76.615,2.9434,3.6423,5.9588,2.6118,74.9848,135.1328
8.625,0.3671,56.1233,0.8763,0.8619,6.5105,2.3491,103.3934,270.2148
8.6875,0.1236,6.6394,2.7879,3.1239,8.3515,2.5109,66.3401,118.9573
8.5781,0.4071,64.638,0.6799,0.6724,6.8725,2.2949,114.6605,287.3411
8.75,0.1479,11.6919,1.9663,2.2131,8.7173,2.514,71.0492,130.9524
8.625,0.1268,42.5781,3.0958,3.4548,7.122999999999998,2.5593,74.4866,136.5322
8.625,0.0797,21.2126,3.7112,4.4506,7.8283,2.5873,66.7351,120.291
8.6719,0.1423,16.8171,2.3976,2.7011,8.0367,2.5199,71.2409,132.60299999999998
8.625,0.113,3.0553,2.2757,2.6978,8.5747,2.5028,67.1509,123.5618
8.625,0.1129,2.8193,2.4195,2.5708,8.418,2.5311,66.3944,123.915
8.625,0.1642,29.5019,6.7053,8.089,5.1705,2.2367,84.9128,134.3443
8.6823,0.1305,21.5035,2.5152,2.9268,8.0951,2.5467,72.1573,136.2456
8.5781,0.0747,7.0516,7.0617,6.9892,7.9889,2.5764,60.4866,106.7686
8.6719,0.162,53.1755,2.3631,2.5842,6.8731,2.5155,81.0852,135.5395
